
미세먼지농도
[검색조건]
지점명 : 서울, 자료구분:시간자료 , 기간 : 20180101 00 ~ 20190101 00

지점번호,지점명,일자,미세먼지농도(㎍/㎥)
108,서울,2018-01-13 20,34
108,서울,2018-01-13 21,43
108,서울,2018-01-13 22,48
108,서울,2018-01-13 23,40
108,서울,2018-01-14 00,50
108,서울,2018-01-14 01,54
108,서울,2018-01-14 02,75
108,서울,2018-01-14 03,69
108,서울,2018-01-14 04,66
108,서울,2018-01-14 05,57
108,서울,2018-01-14 06,56
108,서울,2018-01-14 07,55
108,서울,2018-01-14 08,54
108,서울,2018-01-14 09,57
108,서울,2018-01-14 10,55
108,서울,2018-01-14 11,66
108,서울,2018-01-14 12,69
108,서울,2018-01-14 13,84
108,서울,2018-01-14 14,84
108,서울,2018-01-14 15,76
108,서울,2018-01-14 16,57
108,서울,2018-01-14 17,40
108,서울,2018-01-14 18,19
108,서울,2018-01-14 19,13
108,서울,2018-01-14 20,14
108,서울,2018-01-14 21,26
108,서울,2018-01-14 22,29
108,서울,2018-01-14 23,38
108,서울,2018-01-15 00,36
108,서울,2018-01-15 01,43
108,서울,2018-01-15 02,57
108,서울,2018-01-15 03,40
108,서울,2018-01-15 04,35
108,서울,2018-01-15 05,27
108,서울,2018-01-15 06,26
108,서울,2018-01-15 07,31
108,서울,2018-01-15 08,23
108,서울,2018-01-15 09,28
108,서울,2018-01-15 10,35
108,서울,2018-01-15 11,41
108,서울,2018-01-15 12,57
108,서울,2018-01-15 13,73
108,서울,2018-01-15 14,72
108,서울,2018-01-15 15,73
108,서울,2018-01-15 16,81
108,서울,2018-01-15 17,77
108,서울,2018-01-15 18,80
108,서울,2018-01-15 19,70
108,서울,2018-01-15 20,67
108,서울,2018-01-15 21,73
108,서울,2018-01-15 22,75
108,서울,2018-01-15 23,71
108,서울,2018-01-16 00,78
108,서울,2018-01-16 01,85
108,서울,2018-01-16 02,99
108,서울,2018-01-16 03,83
108,서울,2018-01-16 04,77
108,서울,2018-01-16 05,75
108,서울,2018-01-16 06,78
108,서울,2018-01-16 07,78
108,서울,2018-01-16 08,81
108,서울,2018-01-16 09,73
108,서울,2018-01-16 10,86
108,서울,2018-01-16 11,101
108,서울,2018-01-16 12,116
108,서울,2018-01-16 13,120
108,서울,2018-01-16 14,111
108,서울,2018-01-16 15,104
108,서울,2018-01-16 16,90
108,서울,2018-01-16 17,74
108,서울,2018-01-16 18,81
108,서울,2018-01-16 19,79
108,서울,2018-01-16 20,79
108,서울,2018-01-16 21,86
108,서울,2018-01-16 22,73
108,서울,2018-01-16 23,78
108,서울,2018-01-17 00,84
108,서울,2018-01-17 01,89
108,서울,2018-01-17 02,106
108,서울,2018-01-17 03,104
108,서울,2018-01-17 04,96
108,서울,2018-01-17 05,85
108,서울,2018-01-17 06,79
108,서울,2018-01-17 07,88
108,서울,2018-01-17 08,68
108,서울,2018-01-17 09,80
108,서울,2018-01-17 10,73
108,서울,2018-01-17 11,74
108,서울,2018-01-17 12,83
108,서울,2018-01-17 13,112
108,서울,2018-01-17 14,95
108,서울,2018-01-17 15,78
108,서울,2018-01-17 16,71
108,서울,2018-01-17 17,89
108,서울,2018-01-17 18,78
108,서울,2018-01-17 19,42
108,서울,2018-01-17 20,46
108,서울,2018-01-17 21,57
108,서울,2018-01-17 22,63
108,서울,2018-01-17 23,76
108,서울,2018-01-18 00,77
108,서울,2018-01-18 01,79
108,서울,2018-01-18 02,94
108,서울,2018-01-18 03,94
108,서울,2018-01-18 04,88
108,서울,2018-01-18 05,80
108,서울,2018-01-18 06,73
108,서울,2018-01-18 07,80
108,서울,2018-01-18 08,77
108,서울,2018-01-18 09,74
108,서울,2018-01-18 10,74
108,서울,2018-01-18 11,77
108,서울,2018-01-18 12,79
108,서울,2018-01-18 13,93
108,서울,2018-01-18 14,74
108,서울,2018-01-18 15,64
108,서울,2018-01-18 16,63
108,서울,2018-01-18 17,48
108,서울,2018-01-18 18,45
108,서울,2018-01-18 19,36
108,서울,2018-01-18 20,35
108,서울,2018-01-18 21,36
108,서울,2018-01-18 22,33
108,서울,2018-01-18 23,50
108,서울,2018-01-19 00,54
108,서울,2018-01-19 01,52
108,서울,2018-01-19 02,50
108,서울,2018-01-19 03,52
108,서울,2018-01-19 04,50
108,서울,2018-01-19 05,52
108,서울,2018-01-19 06,50
108,서울,2018-01-19 07,54
108,서울,2018-01-19 08,46
108,서울,2018-01-19 09,42
108,서울,2018-01-19 10,47
108,서울,2018-01-19 11,55
108,서울,2018-01-19 12,63
108,서울,2018-01-19 13,81
108,서울,2018-01-19 14,64
108,서울,2018-01-19 15,49
108,서울,2018-01-19 16,51
108,서울,2018-01-19 17,55
108,서울,2018-01-19 18,49
108,서울,2018-01-19 19,34
108,서울,2018-01-19 20,32
108,서울,2018-01-19 21,40
108,서울,2018-01-19 22,41
108,서울,2018-01-19 23,39
108,서울,2018-01-20 00,40
108,서울,2018-01-20 01,48
108,서울,2018-01-20 02,55
108,서울,2018-01-20 03,55
108,서울,2018-01-20 04,49
108,서울,2018-01-20 05,59
108,서울,2018-01-20 06,76
108,서울,2018-01-20 07,62
108,서울,2018-01-20 08,50
108,서울,2018-01-20 09,57
108,서울,2018-01-20 10,61
108,서울,2018-01-20 11,58
108,서울,2018-01-20 12,71
108,서울,2018-01-20 13,88
108,서울,2018-01-20 14,95
108,서울,2018-01-20 15,78
108,서울,2018-01-20 16,100
108,서울,2018-01-20 17,108
108,서울,2018-01-20 18,129
108,서울,2018-01-20 19,137
108,서울,2018-01-20 20,148
108,서울,2018-01-20 21,169
108,서울,2018-01-20 22,109
108,서울,2018-01-20 23,98
108,서울,2018-01-21 00,107
108,서울,2018-01-21 01,119
108,서울,2018-01-21 02,119
108,서울,2018-01-21 03,108
108,서울,2018-01-21 04,77
108,서울,2018-01-21 05,52
108,서울,2018-01-21 06,46
108,서울,2018-01-21 07,43
108,서울,2018-01-21 08,42
108,서울,2018-01-21 09,38
108,서울,2018-01-21 10,52
108,서울,2018-01-21 11,67
108,서울,2018-01-21 12,69
108,서울,2018-01-21 13,83
108,서울,2018-01-21 14,50
108,서울,2018-01-21 15,34
108,서울,2018-01-21 16,31
108,서울,2018-01-21 17,18
108,서울,2018-01-21 18,9
108,서울,2018-01-21 19,
108,서울,2018-01-21 20,
108,서울,2018-01-21 21,
108,서울,2018-01-21 22,12
108,서울,2018-01-21 23,17
108,서울,2018-01-22 00,24
108,서울,2018-01-22 01,25
108,서울,2018-01-22 02,32
108,서울,2018-01-22 03,34
108,서울,2018-01-22 04,31
108,서울,2018-01-22 05,31
108,서울,2018-01-22 06,31
